Connected. Use ^D to exit.
-> ls -t /
Target             | Property              | Value                             
 CORE13            |                       | 
/SYS/MB/CMP0/      | component_state       | Enabled
 CORE13            |                       | 
/SYS/MB/CMP0/      | type                  | CPU thread
 CORE13/P0         |                       | 
/SYS/MB/CMP0/      | component_state       | Enabled
 CORE13/P0         |                       | 
/SYS/MB/CMP0/      | type                  | CPU thread
 CORE13/P1         |                       | 
/SYS/MB/CMP0/      | component_state       | Enabled
 CORE13/P1         |                       | 
/SYS/MB/CMP0/      | type                  | CPU thread
 CORE13/P2         |                       | 
/SYS/MB/CMP0/      | component_state       | Enabled
 CORE13/P2         |                       | 
/SYS/MB/CMP0/      | type                  | CPU thread
 CORE13/P3         |                       | 
/SYS/MB/CMP0/      | component_state       | Enabled
 CORE13/P3         |                       | 
/SYS/MB/CMP0/      | type                  | CPU thread
 CORE13/P4         |                       | 
/SYS/MB/CMP0/      | component_state       | Enabled
 CORE13/P4         |                       | 
/SYS/MB/CMP0/      | type                  | CPU thread
 CORE13/P5         |                       | 
/SYS/MB/CMP0/      | component_state       | Enabled
 CORE13/P5         |                       | 
/SYS/MB/CMP0/      | type                  | CPU thread
 CORE13/P6         |                       | 
/SYS/MB/CMP0/      | component_state       | Enabled
 CORE13/P6         |                       | 
/SYS/MB/CMP0/      | type                  | CPU thread
 CORE13/P7         |                       | 
/SYS/MB/CMP0/      | component_state       | Enabled
 CORE13/P7         |                       | 
/SYS/MB/CMP0/      | type                  | CPU Core
 CORE14            |                       | 
/SYS/MB/CMP0/      | component_state       | Enabled
 CORE14            |                       | 
/SYS/MB/CMP0/      | type                  | CPU thread
 CORE14/P0         |                       | 
/SYS/MB/CMP0/      | component_state       | Enabled
 CORE14/P0         |                       | 
/SYS/MB/CMP0/      | type                  | CPU thread
 CORE14/P1         |                       | 
/SYS/MB/CMP0/      | component_state       | Enabled
 CORE14/P1         |                       | 
/SYS/MB/CMP0/      | type                  | CPU thread
 CORE14/P2         |                       | 
/SYS/MB/CMP0/      | component_state       | Enabled
 CORE14/P2         |                       | 
/SYS/MB/CMP0/      | type                  | CPU thread
 CORE14/P3         |                       | 
/SYS/MB/CMP0/      | component_state       | Enabled
 CORE14/P3         |                       | 
/SYS/MB/CMP0/      | type                  | CPU thread
 CORE14/P4         |                       | 
/SYS/MB/CMP0/      | component_state       | Enabled
 CORE14/P4         |                       | 
/SYS/MB/CMP0/      | type                  | CPU thread
 CORE14/P5         |                       | 
/SYS/MB/CMP0/      | component_state       | Enabled
 CORE14/P5         |                       | 
/SYS/MB/CMP0/      | type                  | CPU thread
 CORE14/P6         |                       | 
/SYS/MB/CMP0/      | component_state       | Enabled
 CORE14/P6         |                       | 
/SYS/MB/CMP0/      | type                  | CPU thread
 CORE14/P7         |                       | 
/SYS/MB/CMP0/      | component_state       | Enabled
 CORE14/P7         |                       | 
/SYS/MB/CMP0/      | type                  | CPU Core
 CORE15            |                       | 
/SYS/MB/CMP0/      | component_state       | Enabled
 CORE15            |                       | 
/SYS/MB/CMP0/      | type                  | CPU thread
 CORE15/P0         |                       | 
/SYS/MB/CMP0/      | component_state       | Enabled
 CORE15/P0         |                       | 
/SYS/MB/CMP0/      | type                  | CPU thread
 CORE15/P1         |                       | 
/SYS/MB/CMP0/      | component_state       | Enabled
 CORE15/P1         |                       | 
/SYS/MB/CMP0/      | type                  | CPU thread
 CORE15/P2         |                       | 
/SYS/MB/CMP0/      | component_state       | Enabled
 CORE15/P2         |                       | 
/SYS/MB/CMP0/      | type                  | CPU thread
 CORE15/P3         |                       | 
/SYS/MB/CMP0/      | component_state       | Enabled
 CORE15/P3         |                       | 
/SYS/MB/CMP0/      | type                  | CPU thread
 CORE15/P4         |                       | 
/SYS/MB/CMP0/      | component_state       | Enabled
 CORE15/P4         |                       | 
/SYS/MB/CMP0/      | type                  | CPU thread
 CORE15/P5         |                       | 
/SYS/MB/CMP0/      | component_state       | Enabled
 CORE15/P5         |                       | 
/SYS/MB/CMP0/      | type                  | CPU thread
 CORE15/P6         |                       | 
/SYS/MB/CMP0/      | component_state       | Enabled
 CORE15/P6         |                       | 
/SYS/MB/CMP0/      | type                  | CPU thread
 CORE15/P7         |                       | 
/SYS/MB/CMP0/      | component_state       | Enabled
 CORE15/P7         |                       | 
/SYS/MB/CMP0/      | type                  | Current
 I_VDDA            |                       | 
/SYS/MB/CMP0/      | ipmi_name             | MB/C0/I_VDDA
 I_VDDA            |                       | 
/SYS/MB/CMP0/      | class                 | Threshold Sensor
 I_VDDA            |                       | 
/SYS/MB/CMP0/      | value                 | 12.474 Amps
 I_VDDA            |                       | 
/SYS/MB/CMP0/      | upper_nonrecov_thresh | N/A
 I_VDDA            | old                   | 
/SYS/MB/CMP0/      | upper_critical_thresh | N/A
 I_VDDA            | old                   | 
/SYS/MB/CMP0/      | upper_noncritical_thr | N/A
 I_VDDA            | eshold                | 
/SYS/MB/CMP0/      | lower_noncritical_thr | N/A
 I_VDDA            | eshold                | 
/SYS/MB/CMP0/      | lower_critical_thresh | N/A
 I_VDDA            | old                   | 
/SYS/MB/CMP0/      | lower_nonrecov_thresh | N/A
 I_VDDA            | old                   | 
/SYS/MB/CMP0/      | alarm_status          | cleared
 I_VDDA            |                       | 
/SYS/MB/CMP0/L2T0  | type                  | L2 Bank
/SYS/MB/CMP0/L2T0  | component_state       | Enabled
/SYS/MB/CMP0/L2T1  | type                  | L2 Bank
/SYS/MB/CMP0/L2T1  | component_state       | Enabled
/SYS/MB/CMP0/L2T2  | type                  | L2 Bank
/SYS/MB/CMP0/L2T2  | component_state       | Enabled
/SYS/MB/CMP0/L2T3  | type                  | L2 Bank
/SYS/MB/CMP0/L2T3  | component_state       | Enabled
/SYS/MB/CMP0/L2T4  | type                  | L2 Bank
/SYS/MB/CMP0/L2T4  | component_state       | Enabled
/SYS/MB/CMP0/L2T5  | type                  | L2 Bank
/SYS/MB/CMP0/L2T5  | component_state       | Enabled
/SYS/MB/CMP0/L2T6  | type                  | L2 Bank
/SYS/MB/CMP0/L2T6  | component_state       | Enabled
/SYS/MB/CMP0/L2T7  | type                  | L2 Bank
/SYS/MB/CMP0/L2T7  | component_state       | Enabled
/SYS/MB/CMP0/MCU0  | type                  | Memory Controller
/SYS/MB/CMP0/MCU0  | component_state       | Enabled
/SYS/MB/CMP0/MCU1  | type                  | Memory Controller
/SYS/MB/CMP0/MCU1  | component_state       | Enabled
/SYS/MB/CMP0/NIU0  | type                  | Network Interface Port
/SYS/MB/CMP0/NIU0  | component_state       | Enabled
/SYS/MB/CMP0/NIU1  | type                  | Network Interface Port
/SYS/MB/CMP0/NIU1  | component_state       | Enabled
/SYS/MB/CMP0/      | type                  | Network Interface Unit Core
 NIU_CORE          |                       | 
/SYS/MB/CMP0/      | component_state       | Enabled
 NIU_CORE          |                       | 
/SYS/MB/CMP0/PEU0  | type                  | PCIE Interface Port
/SYS/MB/CMP0/PEU0  | component_state       | Enabled
/SYS/MB/CMP0/PEU1  | type                  | PCIE Interface Port
/SYS/MB/CMP0/PEU1  | component_state       | Enabled
/SYS/MB/CMP0/PEX   | type                  | PCIE Root Complex
/SYS/MB/CMP0/PEX   | component_state       | Enabled
/SYS/MB/CMP0/      | type                  | Temperature
 T_BCORE           |                       | 
/SYS/MB/CMP0/      | ipmi_name             | MB/C0/T_BCORE
 T_BCORE           |                       | 
/SYS/MB/CMP0/      | class                 | Threshold Sensor
 T_BCORE           |                       | 
/SYS/MB/CMP0/      | value                 | 41.000 degree C
 T_BCORE           |                       | 
/SYS/MB/CMP0/      | upper_nonrecov_thresh | 106.000 degree C
 T_BCORE           | old                   | 
/SYS/MB/CMP0/      | upper_critical_thresh | 96.000 degree C
 T_BCORE           | old                   | 
/SYS/MB/CMP0/      | upper_noncritical_thr | 86.000 degree C
 T_BCORE           | eshold                | 
/SYS/MB/CMP0/      | lower_noncritical_thr | -4.000 degree C
 T_BCORE           | eshold                | 
/SYS/MB/CMP0/      | lower_critical_thresh | -9.000 degree C
 T_BCORE           | old                   | 
/SYS/MB/CMP0/      | lower_nonrecov_thresh | -14.000 degree C
 T_BCORE           | old                   | 
/SYS/MB/CMP0/      | alarm_status          | cleared
 T_BCORE           |                       | 
/SYS/MB/CMP0/      | type                  | Temperature
 T_TCORE           |                       | 
/SYS/MB/CMP0/      | ipmi_name             | MB/C0/T_TCORE
 T_TCORE           |                       | 
/SYS/MB/CMP0/      | class                 | Threshold Sensor
 T_TCORE           |                       | 
/SYS/MB/CMP0/      | value                 | 45.000 degree C
 T_TCORE           |                       | 
/SYS/MB/CMP0/      | upper_nonrecov_thresh | 106.000 degree C
 T_TCORE           | old                   | 
/SYS/MB/CMP0/      | upper_critical_thresh | 96.000 degree C
 T_TCORE           | old                   | 
/SYS/MB/CMP0/      | upper_noncritical_thr | 86.000 degree C
 T_TCORE           | eshold                | 
/SYS/MB/CMP0/      | lower_noncritical_thr | -4.000 degree C
 T_TCORE           | eshold                | 
/SYS/MB/CMP0/      | lower_critical_thresh | -9.000 degree C
 T_TCORE           | old                   | 
/SYS/MB/CMP0/      | lower_nonrecov_thresh | -14.000 degree C
 T_TCORE           | old                   | 
/SYS/MB/CMP0/      | alarm_status          | cleared
 T_TCORE           |                       | 
/SYS/MB/CMP0/VPS   | type                  | Power Unit
/SYS/MB/CMP0/VPS   | class                 | Threshold Sensor
/SYS/MB/CMP0/VPS   | value                 | 75.038 Watts
/SYS/MB/CMP0/VPS   | upper_nonrecov_thresh | N/A
                   | old                   | 
/SYS/MB/CMP0/VPS   | upper_critical_thresh | N/A
                   | old                   | 
/SYS/MB/CMP0/VPS   | upper_noncritical_thr | N/A
                   | eshold                | 
/SYS/MB/CMP0/VPS   | lower_noncritical_thr | N/A
                   | eshold                | 
/SYS/MB/CMP0/VPS   | lower_critical_thresh | N/A
                   | old                   | 
/SYS/MB/CMP0/VPS   | lower_nonrecov_thresh | N/A
                   | old                   | 
/SYS/MB/CMP0/VPS   | alarm_status          | cleared
/SYS/MB/CMP0/      | type                  | Voltage
 V_VCORE           |                       | 
/SYS/MB/CMP0/      | ipmi_name             | MB/C0/V_VCORE
 V_VCORE           |                       | 
/SYS/MB/CMP0/      | class                 | Threshold Sensor
 V_VCORE           |                       | 
/SYS/MB/CMP0/      | value                 | 1.114 Volts
 V_VCORE           |                       | 
/SYS/MB/CMP0/      | upper_nonrecov_thresh | 1.225 Volts
 V_VCORE           | old                   | 
/SYS/MB/CMP0/      | upper_critical_thresh | 1.200 Volts
 V_VCORE           | old                   | 
/SYS/MB/CMP0/      | upper_noncritical_thr | 1.175 Volts
 V_VCORE           | eshold                | 
/SYS/MB/CMP0/      | lower_noncritical_thr | 1.075 Volts
 V_VCORE           | eshold                | 
/SYS/MB/CMP0/      | lower_critical_thresh | 1.025 Volts
 V_VCORE           | old                   | 
/SYS/MB/CMP0/      | lower_nonrecov_thresh | 1.000 Volts
 V_VCORE           | old                   | 
/SYS/MB/CMP0/      | alarm_status          | cleared
 V_VCORE           |                       | 
/SYS/MB/CMP0/      | type                  | Voltage
 V_VDDA            |                       | 
/SYS/MB/CMP0/      | ipmi_name             | MB/C0/V_VDDA
 V_VDDA            |                       | 
/SYS/MB/CMP0/      | class                 | Threshold Sensor
 V_VDDA            |                       | 
/SYS/MB/CMP0/      | value                 | 1.046 Volts
 V_VDDA            |                       | 
/SYS/MB/CMP0/      | upper_nonrecov_thresh | 1.151 Volts
 V_VDDA            | old                   | 
/SYS/MB/CMP0/      | upper_critical_thresh | 1.112 Volts
 V_VDDA            | old                   | 
/SYS/MB/CMP0/      | upper_noncritical_thr | 1.092 Volts
 V_VDDA            | eshold                | 
/SYS/MB/CMP0/      | lower_noncritical_thr | 1.014 Volts
 V_VDDA            | eshold                | 
/SYS/MB/CMP0/      | lower_critical_thresh | 0.975 Volts
 V_VDDA            | old                   | 
/SYS/MB/CMP0/      | lower_nonrecov_thresh | 0.956 Volts
 V_VDDA            | old                   | 
/SYS/MB/CMP0/      | alarm_status          | cleared
 V_VDDA            |                       | 
/SYS/MB/CMP0/      | type                  | Voltage
 V_VNW             |                       | 
/SYS/MB/CMP0/      | ipmi_name             | MB/C0/V_VNW
 V_VNW             |                       | 
/SYS/MB/CMP0/      | class                 | Threshold Sensor
 V_VNW             |                       | 
/SYS/MB/CMP0/      | value                 | 1.127 Volts
 V_VNW             |                       | 
/SYS/MB/CMP0/      | upper_nonrecov_thresh | N/A
 V_VNW             | old                   | 
/SYS/MB/CMP0/      | upper_critical_thresh | N/A
 V_VNW             | old                   | 
/SYS/MB/CMP0/      | upper_noncritical_thr | N/A
 V_VNW             | eshold                | 
/SYS/MB/CMP0/      | lower_noncritical_thr | N/A
 V_VNW             | eshold                | 
/SYS/MB/CMP0/      | lower_critical_thresh | N/A
 V_VNW             | old                   | 
/SYS/MB/CMP0/      | lower_nonrecov_thresh | N/A
 V_VNW             | old                   | 
/SYS/MB/CMP0/      | alarm_status          | cleared
 V_VNW             |                       | 
/SYS/MB/CMP0/      | type                  | Voltage
 V_VSB             |                       | 
/SYS/MB/CMP0/      | ipmi_name             | MB/C0/V_VSB
 V_VSB             |                       | 
/SYS/MB/CMP0/      | class                 | Threshold Sensor
 V_VSB             |                       | 
/SYS/MB/CMP0/      | value                 | 0.020 Volts
 V_VSB             |                       | 
/SYS/MB/CMP0/      | upper_nonrecov_thresh | N/A
 V_VSB             | old                   | 
/SYS/MB/CMP0/      | upper_critical_thresh | N/A
 V_VSB             | old                   | 
/SYS/MB/CMP0/      | upper_noncritical_thr | N/A
 V_VSB             | eshold                | 
/SYS/MB/CMP0/      | lower_noncritical_thr | N/A
 V_VSB             | eshold                | 
/SYS/MB/CMP0/      | lower_critical_thresh | N/A
 V_VSB             | old                   | 
/SYS/MB/CMP0/      | lower_nonrecov_thresh | N/A
 V_VSB             | old                   | 
/SYS/MB/CMP0/      | alarm_status          | cleared
 V_VSB             |                       | 
/SYS/MB/DVRM_CMP0  | type                  | DVRM Core Converter
/SYS/MB/DVRM_CMP0/ | type                  | Voltage
 IUV_FAULT         |                       | 
/SYS/MB/DVRM_CMP0/ | ipmi_name             | MB/D_C0/IUVF
 IUV_FAULT         |                       | 
/SYS/MB/DVRM_CMP0/ | class                 | Discrete Sensor
 IUV_FAULT         |                       | 
/SYS/MB/DVRM_CMP0/ | value                 | State Deasserted
 IUV_FAULT         |                       | 
/SYS/MB/DVRM_CMP0/ | alarm_status          | cleared
 IUV_FAULT         |                       | 
/SYS/MB/DVRM_CMP0/ | type                  | Current
 I_VCORE           |                       | 
/SYS/MB/DVRM_CMP0/ | ipmi_name             | MB/D_C0/I_CRE
 I_VCORE           |                       | 
/SYS/MB/DVRM_CMP0/ | class                 | Threshold Sensor
 I_VCORE           |                       | 
/SYS/MB/DVRM_CMP0/ | value                 | 50.000 Amps
 I_VCORE           |                       | 
/SYS/MB/DVRM_CMP0/ | upper_nonrecov_thresh | N/A
 I_VCORE           | old                   | 
/SYS/MB/DVRM_CMP0/ | upper_critical_thresh | N/A
 I_VCORE           | old                   | 
/SYS/MB/DVRM_CMP0/ | upper_noncritical_thr | N/A
 I_VCORE           | eshold                | 
/SYS/MB/DVRM_CMP0/ | lower_noncritical_thr | N/A
 I_VCORE           | eshold                | 
/SYS/MB/DVRM_CMP0/ | lower_critical_thresh | N/A
 I_VCORE           | old                   | 
/SYS/MB/DVRM_CMP0/ | lower_nonrecov_thresh | N/A
 I_VCORE           | old                   | 
/SYS/MB/DVRM_CMP0/ | alarm_status          | cleared
 I_VCORE           |                       | 
/SYS/MB/DVRM_CMP0/ | type                  | Current
 OC_FAULT          |                       | 
/SYS/MB/DVRM_CMP0/ | ipmi_name             | MB/D_C0/OCF
 OC_FAULT          |                       | 
/SYS/MB/DVRM_CMP0/ | class                 | Discrete Sensor
 OC_FAULT          |                       | 
/SYS/MB/DVRM_CMP0/ | value                 | State Deasserted
 OC_FAULT          |                       | 
/SYS/MB/DVRM_CMP0/ | alarm_status          | cleared
 OC_FAULT          |                       | 
/SYS/MB/DVRM_CMP0/ | type                  | Voltage
 OOV_FAULT         |                       | 
/SYS/MB/DVRM_CMP0/ | ipmi_name             | MB/D_C0/OOVF
 OOV_FAULT         |                       | 
/SYS/MB/DVRM_CMP0/ | class                 | Discrete Sensor
 OOV_FAULT         |                       | 
/SYS/MB/DVRM_CMP0/ | value                 | State Deasserted
 OOV_FAULT         |                       | 
/SYS/MB/DVRM_CMP0/ | alarm_status          | cleared
 OOV_FAULT         |                       | 
/SYS/MB/DVRM_CMP0/ | type                  | Current
 OVC_FAULT         |                       | 
/SYS/MB/DVRM_CMP0/ | ipmi_name             | MB/D_C0/OVCF
 OVC_FAULT         |                       | 
/SYS/MB/DVRM_CMP0/ | class                 | Discrete Sensor
 OVC_FAULT         |                       | 
/SYS/MB/DVRM_CMP0/ | value                 | State Deasserted
 OVC_FAULT         |                       | 
/SYS/MB/DVRM_CMP0/ | alarm_status          | cleared
 OVC_FAULT         |                       | 
/SYS/MB/DVRM_CMP0/ | type                  | Voltage
 OV_FAULT          |                       | 
/SYS/MB/DVRM_CMP0/ | ipmi_name             | MB/D_C0/OVF
 OV_FAULT          |                       | 
/SYS/MB/DVRM_CMP0/ | class                 | Discrete Sensor
 OV_FAULT          |                       | 
/SYS/MB/DVRM_CMP0/ | value                 | State Deasserted
 OV_FAULT          |                       | 
/SYS/MB/DVRM_CMP0/ | alarm_status          | cleared
 OV_FAULT          |                       | 
/SYS/MB/DVRM_CMP0/ | type                  | Temperature
 TEMP_FAULT        |                       | 
/SYS/MB/DVRM_CMP0/ | ipmi_name             | MB/D_C0/TF
 TEMP_FAULT        |                       | 
/SYS/MB/DVRM_CMP0/ | class                 | Discrete Sensor
 TEMP_FAULT        |                       | 
/SYS/MB/DVRM_CMP0/ | value                 | State Deasserted
 TEMP_FAULT        |                       | 
/SYS/MB/DVRM_CMP0/ | alarm_status          | cleared
 TEMP_FAULT        |                       | 
/SYS/MB/DVRM_CMP0/ | type                  | Temperature
 T_EXT             |                       | 
/SYS/MB/DVRM_CMP0/ | ipmi_name             | MB/D_C0/T_EXT
 T_EXT             |                       | 
/SYS/MB/DVRM_CMP0/ | class                 | Threshold Sensor
 T_EXT             |                       | 
/SYS/MB/DVRM_CMP0/ | value                 | 40.000 degree C
 T_EXT             |                       | 
/SYS/MB/DVRM_CMP0/ | upper_nonrecov_thresh | 110.000 degree C
 T_EXT             | old                   | 
/SYS/MB/DVRM_CMP0/ | upper_critical_thresh | 105.000 degree C
 T_EXT             | old                   | 
/SYS/MB/DVRM_CMP0/ | upper_noncritical_thr | 100.000 degree C
 T_EXT             | eshold                | 
/SYS/MB/DVRM_CMP0/ | lower_noncritical_thr | -5.000 degree C
 T_EXT             | eshold                | 
/SYS/MB/DVRM_CMP0/ | lower_critical_thresh | -8.000 degree C
 T_EXT             | old                   | 
/SYS/MB/DVRM_CMP0/ | lower_nonrecov_thresh | -10.000 degree C
 T_EXT             | old                   | 
/SYS/MB/DVRM_CMP0/ | alarm_status          | cleared
 T_EXT             |                       | 
/SYS/MB/DVRM_CMP0/ | type                  | Temperature
 T_INT             |                       | 
/SYS/MB/DVRM_CMP0/ | ipmi_name             | MB/D_C0/T_INT
 T_INT             |                       | 
/SYS/MB/DVRM_CMP0/ | class                 | Threshold Sensor
 T_INT             |                       | 
/SYS/MB/DVRM_CMP0/ | value                 | 44.000 degree C
 T_INT             |                       | 
/SYS/MB/DVRM_CMP0/ | upper_nonrecov_thresh | 120.000 degree C
 T_INT             | old                   | 
/SYS/MB/DVRM_CMP0/ | upper_critical_thresh | 115.000 degree C
 T_INT             | old                   | 
/SYS/MB/DVRM_CMP0/ | upper_noncritical_thr | 110.000 degree C
 T_INT             | eshold                | 
/SYS/MB/DVRM_CMP0/ | lower_noncritical_thr | -5.000 degree C
 T_INT             | eshold                | 
/SYS/MB/DVRM_CMP0/ | lower_critical_thresh | -8.000 degree C
 T_INT             | old                   | 
/SYS/MB/DVRM_CMP0/ | lower_nonrecov_thresh | -10.000 degree C
 T_INT             | old                   | 
/SYS/MB/DVRM_CMP0/ | alarm_status          | cleared
 T_INT             |                       | 
/SYS/MB/DVRM_M0    | type                  | DVRM 1.5V Converter
/SYS/MB/DVRM_M0/   | type                  | Voltage
 IUV_FAULT         |                       | 
/SYS/MB/DVRM_M0/   | ipmi_name             | MB/D_M0/IUVF
 IUV_FAULT         |                       | 
/SYS/MB/DVRM_M0/   | class                 | Discrete Sensor
 IUV_FAULT         |                       | 
/SYS/MB/DVRM_M0/   | value                 | State Deasserted
 IUV_FAULT         |                       | 
/SYS/MB/DVRM_M0/   | alarm_status          | cleared
 IUV_FAULT         |                       | 
/SYS/MB/DVRM_M0/   | type                  | Current
 I_+1V5            |                       | 
/SYS/MB/DVRM_M0/   | ipmi_name             | MB/D_M0/I_+1V5
 I_+1V5            |                       | 
/SYS/MB/DVRM_M0/   | class                 | Threshold Sensor
 I_+1V5            |                       | 
/SYS/MB/DVRM_M0/   | value                 | 8.000 Amps
 I_+1V5            |                       | 
/SYS/MB/DVRM_M0/   | upper_nonrecov_thresh | N/A
 I_+1V5            | old                   | 
/SYS/MB/DVRM_M0/   | upper_critical_thresh | N/A
 I_+1V5            | old                   | 
/SYS/MB/DVRM_M0/   | upper_noncritical_thr | N/A
 I_+1V5            | eshold                | 
/SYS/MB/DVRM_M0/   | lower_noncritical_thr | N/A
 I_+1V5            | eshold                | 
/SYS/MB/DVRM_M0/   | lower_critical_thresh | N/A
 I_+1V5            | old                   | 
/SYS/MB/DVRM_M0/   | lower_nonrecov_thresh | N/A
 I_+1V5            | old                   | 
/SYS/MB/DVRM_M0/   | alarm_status          | cleared
 I_+1V5            |                       | 
/SYS/MB/DVRM_M0/   | type                  | Current
 OC_FAULT          |                       | 
/SYS/MB/DVRM_M0/   | ipmi_name             | MB/D_M0/OCF
 OC_FAULT          |                       | 
/SYS/MB/DVRM_M0/   | class                 | Discrete Sensor
 OC_FAULT          |                       | 
/SYS/MB/DVRM_M0/   | value                 | State Deasserted
 OC_FAULT          |                       | 
/SYS/MB/DVRM_M0/   | alarm_status          | cleared
 OC_FAULT          |                       | 
/SYS/MB/DVRM_M0/   | type                  | Voltage
 OOV_FAULT         |                       | 
/SYS/MB/DVRM_M0/   | ipmi_name             | MB/D_M0/OOVF
 OOV_FAULT         |                       | 
/SYS/MB/DVRM_M0/   | class                 | Discrete Sensor
 OOV_FAULT         |                       | 
/SYS/MB/DVRM_M0/   | value                 | State Deasserted
 OOV_FAULT         |                       | 
/SYS/MB/DVRM_M0/   | alarm_status          | cleared
 OOV_FAULT         |                       | 
/SYS/MB/DVRM_M0/   | type                  | Current
 OVC_FAULT         |                       | 
/SYS/MB/DVRM_M0/   | ipmi_name             | MB/D_M0/OVCF
 OVC_FAULT         |                       | 
/SYS/MB/DVRM_M0/   | class                 | Discrete Sensor
 OVC_FAULT         |                       | 
/SYS/MB/DVRM_M0/   | value                 | State Deasserted
 OVC_FAULT         |                       | 
/SYS/MB/DVRM_M0/   | alarm_status          | cleared
 OVC_FAULT         |                       | 
/SYS/MB/DVRM_M0/   | type                  | Voltage
 OV_FAULT          |                       | 
/SYS/MB/DVRM_M0/   | ipmi_name             | MB/D_M0/OVF
 OV_FAULT          |                       | 
/SYS/MB/DVRM_M0/   | class                 | Discrete Sensor
 OV_FAULT          |                       | 
/SYS/MB/DVRM_M0/   | value                 | State Deasserted
 OV_FAULT          |                       | 
/SYS/MB/DVRM_M0/   | alarm_status          | cleared
 OV_FAULT          |                       | 
/SYS/MB/DVRM_M0/   | type                  | Temperature
 TEMP_FAULT        |                       | 
/SYS/MB/DVRM_M0/   | ipmi_name             | MB/D_M0/TF
 TEMP_FAULT        |                       | 
/SYS/MB/DVRM_M0/   | class                 | Discrete Sensor
 TEMP_FAULT        |                       | 
/SYS/MB/DVRM_M0/   | value                 | State Deasserted
 TEMP_FAULT        |                       | 
/SYS/MB/DVRM_M0/   | alarm_status          | cleared
 TEMP_FAULT        |                       | 
/SYS/MB/DVRM_M0/   | type                  | Temperature
 T_EXT             |                       | 
/SYS/MB/DVRM_M0/   | ipmi_name             | MB/D_M0/T_EXT
 T_EXT             |                       | 
/SYS/MB/DVRM_M0/   | class                 | Threshold Sensor
 T_EXT             |                       | 
/SYS/MB/DVRM_M0/   | value                 | 36.000 degree C
 T_EXT             |                       | 
/SYS/MB/DVRM_M0/   | upper_nonrecov_thresh | 110.000 degree C
 T_EXT             | old                   | 
/SYS/MB/DVRM_M0/   | upper_critical_thresh | 105.000 degree C
 T_EXT             | old                   | 
/SYS/MB/DVRM_M0/   | upper_noncritical_thr | 100.000 degree C
 T_EXT             | eshold                | 
/SYS/MB/DVRM_M0/   | lower_noncritical_thr | -5.000 degree C
 T_EXT             | eshold                | 
/SYS/MB/DVRM_M0/   | lower_critical_thresh | -8.000 degree C
 T_EXT             | old                   | 
/SYS/MB/DVRM_M0/   | lower_nonrecov_thresh | -10.000 degree C
 T_EXT             | old                   | 
/SYS/MB/DVRM_M0/   | alarm_status          | cleared
 T_EXT             |                       | 
/SYS/MB/DVRM_M0/   | type                  | Temperature
 T_INT             |                       | 
/SYS/MB/DVRM_M0/   | ipmi_name             | MB/D_M0/T_INT
 T_INT             |                       | 
/SYS/MB/DVRM_M0/   | class                 | Threshold Sensor
 T_INT             |                       | 
/SYS/MB/DVRM_M0/   | value                 | 42.000 degree C
 T_INT             |                       | 
/SYS/MB/DVRM_M0/   | upper_nonrecov_thresh | 120.000 degree C
 T_INT             | old                   | 
/SYS/MB/DVRM_M0/   | upper_critical_thresh | 115.000 degree C
 T_INT             | old                   | 
/SYS/MB/DVRM_M0/   | upper_noncritical_thr | 110.000 degree C
 T_INT             | eshold                | 
/SYS/MB/DVRM_M0/   | lower_noncritical_thr | -5.000 degree C
 T_INT             | eshold                | 
/SYS/MB/DVRM_M0/   | lower_critical_thresh | -8.000 degree C
 T_INT             | old                   | 
/SYS/MB/DVRM_M0/   | lower_nonrecov_thresh | -10.000 degree C
 T_INT             | old                   | 
/SYS/MB/DVRM_M0/   | alarm_status          | cleared
 T_INT             |                       | 
/SYS/MB/DVRM_M0/   | type                  | Power Unit
 VPS               |                       | 
/SYS/MB/DVRM_M0/   | class                 | Threshold Sensor
 VPS               |                       | 
/SYS/MB/DVRM_M0/   | value                 | 12.012 Watts
 VPS               |                       | 
/SYS/MB/DVRM_M0/   | upper_nonrecov_thresh | N/A
 VPS               | old                   | 
/SYS/MB/DVRM_M0/   | upper_critical_thresh | N/A
 VPS               | old                   | 
/SYS/MB/DVRM_M0/   | upper_noncritical_thr | N/A
 VPS               | eshold                | 
/SYS/MB/DVRM_M0/   | lower_noncritical_thr | N/A
 VPS               | eshold                | 
/SYS/MB/DVRM_M0/   | lower_critical_thresh | N/A
 VPS               | old                   | 
/SYS/MB/DVRM_M0/   | lower_nonrecov_thresh | N/A
 VPS               | old                   | 
/SYS/MB/DVRM_M0/   | alarm_status          | cleared
 VPS               |                       | 
/SYS/MB/DVRM_M1    | type                  | DVRM 1.5V Converter
/SYS/MB/DVRM_M1/   | type                  | Voltage
 IUV_FAULT         |                       | 
/SYS/MB/DVRM_M1/   | ipmi_name             | MB/D_M1/IUVF
 IUV_FAULT         |                       | 
/SYS/MB/DVRM_M1/   | class                 | Discrete Sensor
 IUV_FAULT         |                       | 
/SYS/MB/DVRM_M1/   | value                 | State Deasserted
 IUV_FAULT         |                       | 
/SYS/MB/DVRM_M1/   | alarm_status          | cleared
 IUV_FAULT         |                       | 
/SYS/MB/DVRM_M1/   | type                  | Current
 I_+1V5            |                       | 
/SYS/MB/DVRM_M1/   | ipmi_name             | MB/D_M1/I_+1V5
 I_+1V5            |                       | 
/SYS/MB/DVRM_M1/   | class                 | Threshold Sensor
